"","Order","BinPerm","CatPerm","ContPerm","BinRank","CatRank","ContRank","Bin%","Cat%","Cont%","BinRank%","CatRank%","ContRank%"
"PLEKHG6",46,"1.53e-01","3e-02","1.94e-01","3904","1008","2815","0.261","0.0622","0.202","0.241","0.0622","0.202"
"QPCTL",47,"7.71e-01","5.11e-01","5.44e-01","9998","9503","7595","0.667","0.587","0.546","0.617","0.586","0.546"
"PPP5C",48,"7.28e-01","7.73e-01","6.63e-01","9391","12932","9264","0.627","0.798","0.666","0.579","0.798","0.666"
"UBR7",49,"4.49e-03","1.05e-02","2.64e-01","31","443","3766","0.00207","0.0273","0.271","0.00191","0.0273","0.271"
"MAP4K5",50,"1.2e-01","8.28e-01","1.26e-01","3307","13730","1874","0.221","0.847","0.135","0.204","0.847","0.135"
"ERCC1",51,"9.51e-01","6.08e-01","NA","13853","10786","NA","0.924","0.666","NA","0.855","0.665","NA"
"GPRC5A",52,"8.08e-01","4.5e-01","4.7e-03","10637","8609","142","0.71","0.531","0.0102","0.656","0.531","0.0102"
"HEBP1",53,"9.25e-01","2.09e-01","9.38e-01","13254","4879","13064","0.884","0.301","0.939","0.818","0.301","0.939"
"COX15",54,"9.27e-01","5.71e-01","6.1e-01","13302","10313","8512","0.888","0.637","0.612","0.821","0.636","0.612"
"MS4A12",55,"2.05e-01","9.07e-01","NA","4691","14806","NA","0.313","0.914","NA","0.289","0.913","NA"
"XYLT2",56,"1.17e-01","2.36e-01","8.43e-01","3217","5340","11733","0.215","0.33","0.843","0.198","0.329","0.843"
"FTSJ1",57,"4.28e-01","6.95e-02","7.84e-01","6712","2046","10910","0.448","0.126","0.784","0.414","0.126","0.784"
"SCTR",58,"8.84e-01","8.77e-01","1.71e-01","12275","14414","2476","0.819","0.89","0.178","0.757","0.889","0.178"
"RALBP1",59,"5.88e-01","5.19e-01","2.6e-01","7926","9609","3707","0.529","0.593","0.267","0.489","0.593","0.266"
"SYT13",60,"4.69e-01","1.43e-01","1.45e-01","7023","3655","2102","0.469","0.226","0.151","0.433","0.225","0.151"
"SNAI2",61,"3.4e-01","3.81e-01","7.92e-01","6014","7599","11015","0.401","0.469","0.792","0.371","0.469","0.792"
"SLC7A9",62,"6.11e-01","9.14e-04","1e-03","8131","61","52","0.543","0.00376","0.00374","0.502","0.00376","0.00374"
"RTF2",63,"1.79e-01","9.7e-01","5.54e-01","4305","15735","7743","0.287","0.971","0.557","0.266","0.971","0.557"
"RB1CC1",64,"9.58e-01","5.56e-01","5.09e-01","14018","10108","7129","0.935","0.624","0.512","0.865","0.624","0.512"
"AKAP11",65,"7.83e-01","7.57e-02","9.02e-01","10205","2170","12570","0.681","0.134","0.904","0.63","0.134","0.904"
"B4GALT7",66,"1.31e-01","4.42e-01","3.47e-01","3536","8472","4902","0.236","0.523","0.352","0.218","0.523","0.352"
"FAM13B",67,"9.3e-01","3.73e-01","4.75e-01","13398","7482","6653","0.894","0.462","0.478","0.827","0.462","0.478"
"CHPF2",68,"5.67e-01","2.57e-02","7.41e-01","7773","887","10340","0.519","0.0547","0.743","0.48","0.0547","0.743"
"GABARAPL2",69,"NA","5.05e-02","NA","14992","1604","NA","NA","0.099","NA","0.925","0.099","NA"
"MYOC",70,"3.11e-01","8.17e-02","9.16e-01","5776","2294","12766","0.385","0.142","0.918","0.356","0.142","0.918"
"FAM136A",71,"1.88e-01","2.94e-02","9.41e-01","4445","994","13104","0.297","0.0614","0.942","0.274","0.0613","0.942"
"NSMAF",72,"8.47e-01","2.56e-01","9.18e-01","11396","5679","12796","0.76","0.351","0.92","0.703","0.35","0.92"
"OTC",73,"9.78e-01","2.74e-01","6.34e-01","14489","5960","8837","0.967","0.368","0.635","0.894","0.368","0.635"
"TTC17",74,"1.29e-01","4.27e-01","9.65e-01","3495","8259","13416","0.233","0.51","0.964","0.216","0.51","0.964"
"HOXC8",75,"NA","4.58e-01","NA","14993","8725","NA","NA","0.539","NA","0.925","0.538","NA"
"MRI1",76,"5.8e-01","9.73e-01","3.43e-01","7877","15773","4841","0.526","0.974","0.348","0.486","0.973","0.348"
"TARBP1",77,"6.88e-01","6.61e-01","3.93e-01","8882","11477","5525","0.593","0.708","0.397","0.548","0.708","0.397"
"RTN4R",78,"1.8e-02","8.87e-01","5.16e-01","426","14532","7234","0.0284","0.897","0.52","0.0263","0.897","0.52"
"PSMA4",79,"NA","4.79e-01","NA","14994","9023","NA","NA","0.557","NA","0.925","0.557","NA"
"ZPBP",80,"2.66e-01","5.18e-01","9.54e-01","5347","9596","13273","0.357","0.592","0.954","0.33","0.592","0.954"
"LCP2",81,"8.14e-01","4.41e-01","9.57e-01","10743","8464","13308","0.717","0.522","0.957","0.663","0.522","0.957"
"DCN",82,"1.7e-01","6.68e-01","3.49e-01","4169","11562","4930","0.278","0.714","0.354","0.257","0.713","0.354"
"TNFRSF17",83,"8.86e-01","4.07e-01","3.83e-01","12324","7979","5417","0.822","0.492","0.389","0.76","0.492","0.389"
"MRPS10",84,"8.8e-01","2.04e-01","8.43e-01","12160","4787","11729","0.811","0.295","0.843","0.75","0.295","0.843"
"GRN",85,"7.25e-01","9.69e-01","3.29e-01","9359","15715","4667","0.625","0.97","0.335","0.577","0.97","0.335"
"THAP3",86,"7.99e-01","7.16e-01","5.55e-01","10472","12170","7753","0.699","0.751","0.557","0.646","0.751","0.557"
"VAMP3",87,"1.91e-01","1.23e-01","8.59e-01","4487","3234","11969","0.299","0.2","0.86","0.277","0.2","0.86"
"RCN1",88,"7.38e-01","8.26e-01","3.72e-01","9508","13706","5265","0.634","0.846","0.378","0.587","0.846","0.378"
"RFC2",89,"8.43e-01","8.94e-01","7.74e-01","11306","14633","10755","0.754","0.903","0.773","0.698","0.903","0.773"
"PPP1R3F",90,"9.93e-01","9.41e-01","2.71e-01","14787","15270","3874","0.987","0.942","0.278","0.912","0.942","0.278"
"NFE2L3",91,"6.36e-01","5.36e-01","7.96e-01","8383","9846","11068","0.559","0.608","0.796","0.517","0.607","0.796"
"CBLN4",92,"4.71e-01","9.55e-01","4.96e-01","7038","15511","6952","0.47","0.957","0.5","0.434","0.957","0.5"
"CLDN11",93,"2.88e-02","1.87e-02","4.78e-01","809","706","6693","0.054","0.0436","0.481","0.0499","0.0436","0.481"
"FAM168A",94,"NA","3.19e-01","NA","14995","6661","NA","NA","0.411","NA","0.925","0.411","NA"
"RELT",95,"9.07e-01","9.58e-01","3.14e-01","12826","15552","4444","0.856","0.96","0.319","0.791","0.959","0.319"
"PKP2",96,"4.71e-02","9.8e-01","9.52e-01","1412","15899","13247","0.0942","0.981","0.952","0.0871","0.981","0.952"
"YIPF1",97,"8.77e-01","6e-01","3.68e-01","12093","10691","5221","0.807","0.66","0.375","0.746","0.66","0.375"
"ADCK2",98,"7.79e-01","2.76e-01","4.6e-01","10138","5985","6448","0.676","0.369","0.463","0.625","0.369","0.463"
"INPP4A",99,"7.9e-01","9.46e-01","3.82e-01","10295","15361","5406","0.687","0.948","0.389","0.635","0.948","0.389"
"SLC2A3",100,"1.13e-01","8.81e-01","5.25e-01","3140","14459","7353","0.21","0.892","0.529","0.194","0.892","0.529"
"STYK1",101,"6.85e-01","9.7e-01","4.54e-01","8856","15734","6368","0.591","0.971","0.458","0.546","0.971","0.458"
"GNA11",102,"NA","5.33e-01","NA","14996","9819","NA","NA","0.606","NA","0.925","0.606","NA"
"CREB3L3",103,"9.56e-01","9.08e-01","5.04e-01","13963","14814","7051","0.932","0.914","0.507","0.861","0.914","0.507"
"HDAC7",104,"9.72e-01","4.05e-01","2.82e-01","14343","7945","4005","0.957","0.49","0.288","0.885","0.49","0.288"
"MRPS35",105,"4.39e-01","8.09e-01","6.55e-01","6806","13440","9129","0.454","0.83","0.656","0.42","0.829","0.656"
"APPBP2",106,"NA","2.79e-01","NA","14997","6030","NA","NA","0.372","NA","0.925","0.372","NA"
"CA11",107,"7.58e-01","6.26e-01","7.58e-01","9814","11029","10547","0.655","0.681","0.758","0.605","0.68","0.758"
"ISOC2",108,"2.47e-01","2.87e-01","6.72e-01","5158","6161","9379","0.344","0.38","0.674","0.318","0.38","0.674"
"CD22",109,"7.52e-01","2.77e-01","1.18e-01","9713","6004","1762","0.648","0.371","0.127","0.599","0.37","0.127"
"GSC2",110,"2.91e-01","5.85e-01","NA","5591","10503","NA","0.373","0.648","NA","0.345","0.648","NA"
"KCNQ1",111,"9.58e-02","4.23e-02","1.68e-01","2777","1349","2432","0.185","0.0833","0.175","0.171","0.0832","0.175"
"TRIB2",112,"2.75e-02","2.27e-03","NA","762","134","NA","0.0508","0.00827","NA","0.047","0.00827","NA"
"OTUD5",113,"7.55e-01","3.94e-01","3.41e-01","9768","7773","4818","0.652","0.48","0.346","0.603","0.48","0.346"
"GPKOW",114,"6.42e-02","5.98e-01","2.77e-01","1947","10661","3954","0.13","0.658","0.284","0.12","0.658","0.284"
"AQR",115,"4.31e-01","5.85e-01","1.04e-01","6744","10507","1579","0.45","0.649","0.113","0.416","0.648","0.113"
"LMCD1",116,"5.94e-02","3.29e-01","2.94e-01","1792","6813","4157","0.12","0.421","0.299","0.111","0.42","0.299"
"PSMC4",117,"NA","4.81e-02","NA","14998","1533","NA","NA","0.0946","NA","0.925","0.0946","NA"
"FNDC8",118,"3.25e-01","4.46e-01","2.76e-01","5887","8546","3936","0.393","0.527","0.283","0.363","0.527","0.283"
"ACAP1",119,"1.02e-01","2.43e-02","1.56e-01","2899","859","2291","0.193","0.053","0.165","0.179","0.053","0.165"
"DERL2",120,"NA","4.98e-01","NA","14999","9331","NA","NA","0.576","NA","0.925","0.576","NA"
"NOX3",121,"6.47e-01","9.05e-01","9.1e-01","8479","14762","12675","0.566","0.911","0.911","0.523","0.911","0.911"
"ANO8",122,"2.95e-02","1.49e-03","8.66e-01","835","92","12068","0.0557","0.00568","0.867","0.0515","0.00568","0.867"
"ICAM3",123,"9.06e-01","6.51e-02","NA","12802","1950","NA","0.854","0.12","NA","0.79","0.12","NA"
"CTTNBP2",124,"1.64e-01","9.63e-01","2.69e-01","4094","15631","3840","0.273","0.965","0.276","0.253","0.964","0.276"
"ACTL6B",125,"NA","4.64e-01","NA","15000","8810","NA","NA","0.544","NA","0.925","0.544","NA"
"KIF22",126,"6.91e-01","6.4e-01","9.87e-01","8909","11192","13743","0.594","0.691","0.988","0.55","0.69","0.988"
"PRSS22",127,"1.58e-01","5.3e-01","9.82e-02","3992","9768","1512","0.266","0.603","0.109","0.246","0.603","0.109"
"YTHDC2",128,"6.09e-01","1.97e-01","3.34e-01","8115","4669","4720","0.542","0.288","0.339","0.501","0.288","0.339"
"TMEM161A",129,"5.92e-01","8.98e-01","3.26e-01","7963","14675","4615","0.531","0.906","0.332","0.491","0.905","0.332"
"FOXJ2",130,"6.99e-02","9.05e-02","1.33e-01","2087","2510","1954","0.139","0.155","0.14","0.129","0.155","0.14"
"GOLGA5",131,"1.16e-01","4.57e-02","5.67e-01","3199","1466","7926","0.213","0.0905","0.57","0.197","0.0904","0.57"
"PPP2R5B",132,"9.16e-01","2.47e-01","4.06e-01","13018","5541","5710","0.869","0.342","0.41","0.803","0.342","0.41"
"PYGM",133,"2.59e-01","2.68e-02","1.92e-01","5285","928","2777","0.353","0.0573","0.2","0.326","0.0573","0.2"
"BCL3",134,"2.3e-01","1.39e-01","5.57e-01","4984","3584","7786","0.333","0.221","0.56","0.307","0.221","0.56"
"PRLH",135,"8.75e-01","9.64e-01","2.53e-01","12029","15645","3621","0.803","0.966","0.26","0.742","0.965","0.26"
"FSTL3",136,"7.94e-01","7.18e-01","9.53e-01","10383","12187","13265","0.693","0.752","0.953","0.641","0.752","0.953"
"EPHA8",137,"9.39e-01","7.8e-01","5.18e-01","13582","13030","7273","0.906","0.804","0.523","0.838","0.804","0.523"
"TRIP13",138,"3.53e-01","1.51e-01","3.55e-01","6110","3820","5016","0.408","0.236","0.361","0.377","0.236","0.361"
"VASH1",139,"8.97e-01","7.53e-01","8.8e-01","12580","12627","12246","0.839","0.779","0.88","0.776","0.779","0.88"
"KRT14",140,"6.17e-02","3.27e-02","8.99e-01","1879","1093","12519","0.125","0.0675","0.9","0.116","0.0674","0.9"
"KRT20",141,"3.52e-02","4.62e-02","9.54e-02","1014","1480","1468","0.0677","0.0913","0.106","0.0626","0.0913","0.106"
"HSD17B10",142,"1.62e-01","9.46e-01","7.9e-01","4056","15365","10976","0.271","0.948","0.789","0.25","0.948","0.789"
"FGF4",143,"1e+00","9.78e-01","4.8e-01","14929","15876","6736","0.996","0.98","0.484","0.921","0.979","0.484"
"ST6GAL1",144,"4.87e-01","7.69e-01","1.09e-02","7160","12861","257","0.478","0.794","0.0185","0.442","0.793","0.0185"
"TIMM21",145,"4.17e-01","3.17e-01","6.32e-01","6596","6626","8802","0.44","0.409","0.633","0.407","0.409","0.633"
"BPIFB2",146,"2.87e-01","4.63e-01","8.91e-02","5541","8791","1383","0.37","0.543","0.0995","0.342","0.542","0.0994"
"REXO1",147,"9.47e-01","5.81e-01","NA","13766","10450","NA","0.919","0.645","NA","0.849","0.645","NA"
"MKRN2",148,"5.61e-01","2.33e-01","4.16e-01","7724","5301","5840","0.515","0.327","0.42","0.477","0.327","0.42"
"GPATCH1",149,"2.2e-01","9.58e-01","2.15e-01","4858","15562","3073","0.324","0.96","0.221","0.3","0.96","0.221"
"KEAP1",150,"8.78e-01","8e-02","7.03e-01","12122","2258","9814","0.809","0.139","0.706","0.748","0.139","0.705"
"P2RY10",151,"8.87e-01","9.18e-02","5.58e-01","12343","2545","7788","0.824","0.157","0.56","0.761","0.157","0.56"
"TNS1",152,"7.86e-01","1.52e-01","2.26e-01","10239","3846","3233","0.683","0.237","0.232","0.632","0.237","0.232"
"NGFR",153,"3.26e-01","2.1e-01","8.54e-01","5896","4890","11888","0.393","0.302","0.855","0.364","0.302","0.855"
"NTN1",154,"4.41e-02","4.13e-02","1.71e-01","1312","1326","2474","0.0875","0.0818","0.178","0.0809","0.0818","0.178"
"ISOC1",155,"8.86e-01","6.88e-01","4.79e-02","12321","11805","784","0.822","0.729","0.0564","0.76","0.728","0.0564"
"MNT",156,"7.58e-01","5.69e-01","5.21e-01","9813","10288","7305","0.655","0.635","0.525","0.605","0.635","0.525"
"AP3M2",157,"9.6e-01","9.64e-01","NA","14047","15639","NA","0.937","0.965","NA","0.867","0.965","NA"
"LAPTM4A",158,"NA","6.21e-01","7.93e-01","15001","10966","11032","NA","0.677","0.793","0.925","0.677","0.793"
"PTPN18",159,"2.32e-01","9.71e-01","NA","5005","15756","NA","0.334","0.972","NA","0.309","0.972","NA"
"STK10",160,"6.85e-01","7.05e-01","2.31e-01","8854","12027","3317","0.591","0.742","0.238","0.546","0.742","0.238"
"TBX21",161,"8.89e-01","4.98e-01","8.7e-01","12406","9336","12115","0.828","0.576","0.871","0.765","0.576","0.871"
"MRPS34",162,"5.5e-01","9.97e-01","8.31e-01","7635","16151","11565","0.509","0.997","0.831","0.471","0.996","0.831"
"MAP2K5",163,"5.58e-01","9.31e-01","9.72e-01","7699","15144","13527","0.514","0.935","0.972","0.475","0.934","0.972"
"TIGAR",164,"4.88e-02","3.91e-02","5.16e-01","1465","1270","7238","0.0978","0.0784","0.52","0.0904","0.0784","0.52"
"FGF20",165,"8.33e-01","7.81e-01","8.18e-01","11124","13033","11374","0.742","0.804","0.818","0.686","0.804","0.818"
"MTMR7",166,"5.88e-01","7.84e-01","7.84e-01","7928","13078","10908","0.529","0.807","0.784","0.489","0.807","0.784"
"CPB2",167,"8.55e-01","9.12e-01","2.56e-01","11605","14890","3661","0.774","0.919","0.263","0.716","0.919","0.263"
"FAM107B",168,"3.96e-02","1.94e-01","4.29e-01","1169","4616","6022","0.078","0.285","0.433","0.0721","0.285","0.433"
"CDK13",169,"4.99e-02","5.15e-01","6.21e-01","1493","9560","8669","0.0996","0.59","0.623","0.0921","0.59","0.623"
"TSPAN32",170,"9.67e-01","6.16e-01","1.36e-01","14243","10894","1986","0.95","0.672","0.143","0.879","0.672","0.143"
"TRAM2",171,"5.18e-01","3.37e-01","7.37e-01","7388","6934","10266","0.493","0.428","0.738","0.456","0.428","0.738"
"CLDN18",172,"5.49e-01","3.71e-01","7.64e-02","7626","7448","1197","0.509","0.46","0.086","0.47","0.459","0.086"
"NDUFB4",173,"7.96e-01","1.91e-01","6.53e-01","10414","4561","9102","0.695","0.282","0.654","0.642","0.281","0.654"
"HEATR6",174,"7.32e-01","8.41e-01","8.1e-02","9434","13904","1262","0.63","0.858","0.0907","0.582","0.858","0.0907"
"ERLEC1",175,"9.05e-01","1.22e-01","5.83e-01","12778","3221","8140","0.853","0.199","0.585","0.788","0.199","0.585"
"TMEM131",176,"7.53e-01","2.97e-01","3.53e-01","9733","6313","4984","0.649","0.39","0.358","0.6","0.389","0.358"
"TMEM38A",177,"9.7e-01","2.04e-01","6.46e-01","14304","4788","9002","0.954","0.296","0.647","0.882","0.295","0.647"
"ACTR6",178,"NA","8.56e-01","NA","15002","14130","NA","NA","0.872","NA","0.926","0.872","NA"
"FAP",179,"2.01e-02","7.56e-01","8.55e-01","491","12675","11896","0.0328","0.782","0.855","0.0303","0.782","0.855"
"DMRT3",180,"5.71e-02","2.19e-01","7.43e-01","1719","5052","10373","0.115","0.312","0.746","0.106","0.312","0.746"
"GAL3ST2",181,"8.92e-01","5.38e-02","NA","12472","1685","NA","0.832","0.104","NA","0.769","0.104","NA"
"UHRF1BP1",182,"2.13e-01","9.53e-02","4.12e-01","4783","2629","5786","0.319","0.162","0.416","0.295","0.162","0.416"
"OSTM1",183,"5.58e-01","4.61e-01","5.22e-01","7705","8766","7326","0.514","0.541","0.527","0.475","0.541","0.527"
"SLC13A1",184,"8.72e-01","6.99e-01","2.52e-01","11971","11957","3598","0.799","0.738","0.259","0.739","0.738","0.259"
"HSPB11",185,"8.87e-01","8.6e-01","7.28e-01","12345","14177","10151","0.824","0.875","0.73","0.762","0.875","0.73"
"STRADB",186,"1.73e-01","7.68e-01","3.32e-01","4222","12848","4700","0.282","0.793","0.338","0.26","0.793","0.338"
"DLG3",187,"5.2e-01","1.78e-01","1.47e-01","7407","4329","2143","0.494","0.267","0.154","0.457","0.267","0.154"
"PLOD1",188,"2.89e-02","8.64e-01","3.55e-01","815","14220","5019","0.0544","0.878","0.361","0.0503","0.877","0.361"
"OXCT1",189,"6.42e-01","9.89e-01","7.91e-02","8437","16032","1241","0.563","0.99","0.0892","0.521","0.989","0.0892"
"FAM234B",190,"9.28e-01","2.54e-01","5.15e-01","13338","5650","7230","0.89","0.349","0.52","0.823","0.349","0.52"
"RRN3",191,"1.95e-01","9.08e-01","3.52e-01","4541","14808","4961","0.303","0.914","0.357","0.28","0.914","0.357"
"MOGAT2",192,"1.69e-02","6.5e-02","4.96e-03","388","1946","149","0.0259","0.12","0.0107","0.0239","0.12","0.0107"
"CHERP",193,"8.26e-02","2.2e-02","5.83e-01","2447","793","8138","0.163","0.0489","0.585","0.151","0.0489","0.585"
"AQP2",194,"7.57e-01","6.23e-01","7.23e-01","9790","10982","10088","0.653","0.678","0.725","0.604","0.678","0.725"
"DIMT1",195,"5.56e-02","7.04e-02","3.15e-01","1683","2064","4461","0.112","0.127","0.321","0.104","0.127","0.321"
"EIF2AK1",196,"4.07e-01","3.53e-01","4.35e-02","6539","7177","720","0.436","0.443","0.0518","0.403","0.443","0.0518"
"NME8",197,"7.96e-01","9.47e-01","6.37e-01","10415","15374","8876","0.695","0.949","0.638","0.643","0.948","0.638"
"EPDR1",198,"8.55e-03","3.86e-01","5.66e-01","126","7678","7904","0.00841","0.474","0.568","0.00777","0.474","0.568"
"HBQ1",199,"9.15e-01","5.51e-01","3.62e-01","12995","10045","5116","0.867","0.62","0.368","0.802","0.62","0.368"
"RBM22",200,"NA","6.53e-01","NA","15003","11356","NA","NA","0.701","NA","0.926","0.701","NA"
"HSD17B2",201,"7.48e-01","4.39e-02","8.5e-04","9664","1404","48","0.645","0.0867","0.00345","0.596","0.0866","0.00345"
"ZW10",202,"5.36e-02","3.38e-01","4.36e-01","1611","6939","6127","0.108","0.428","0.44","0.0994","0.428","0.44"
"ITGB4",203,"4.41e-02","1.83e-03","1.47e-01","1311","106","2152","0.0875","0.00654","0.155","0.0809","0.00654","0.155"
"TRIP6",204,"9.8e-02","3.61e-02","9.86e-01","2820","1180","13726","0.188","0.0728","0.987","0.174","0.0728","0.987"
"ADAM11",205,"2.34e-01","3.61e-01","9.99e-01","5022","7293","13899","0.335","0.45","0.999","0.31","0.45","0.999"
"SLC22A4",206,"1.72e-01","2.19e-01","6.07e-01","4212","5038","8467","0.281","0.311","0.609","0.26","0.311","0.609"
"TFAP2C",207,"1.98e-01","9.6e-01","4.43e-01","4588","15585","6227","0.306","0.962","0.448","0.283","0.962","0.448"
"SULT2B1",208,"1.95e-01","3.99e-02","1.72e-01","4538","1290","2493","0.303","0.0796","0.179","0.28","0.0796","0.179"
"EPS8L1",209,"2.7e-01","9.46e-01","4.96e-01","5379","15354","6945","0.359","0.948","0.499","0.332","0.947","0.499"
"REM1",210,"1.86e-02","3.17e-02","1.81e-01","446","1072","2619","0.0298","0.0662","0.188","0.0275","0.0661","0.188"
"PDRG1",211,"4.2e-01","4.5e-01","8.79e-01","6627","8606","12244","0.442","0.531","0.88","0.409","0.531","0.88"
"PPP1R13B",212,"8.65e-01","3.15e-01","1.92e-01","11831","6586","2785","0.789","0.406","0.2","0.73","0.406","0.2"
"TGM6",213,"9.38e-01","5.5e-01","4.97e-01","13562","10026","6966","0.905","0.619","0.501","0.837","0.619","0.501"
"RALGAPA2",214,"4.55e-01","7.95e-01","8.66e-01","6922","13225","12062","0.462","0.816","0.867","0.427","0.816","0.867"
"RPL6",215,"6.94e-02","1.73e-02","NA","2077","661","NA","0.139","0.0408","NA","0.128","0.0408","NA"
